Name_Num,AFFGEOID,GEOID,NAME,Municipality,Pittsburgh Neighborhood,Total Pop 2014-2018,White Pop Rate 2014-2018,Black Pop Rate 2014-2018,Asian Pop Rate 2014-2018,His or Lat Pop Rate 2014-2018,Family Poverty Rate 2014-2018,Rate of Single Mothers 2014-2018,Rate of those 25 and up without at least Bachelor's 2014-2018,Male unemployment/unattachment rate,Average 911 Dispatches for Shots Fired per 500,Median Home Value 2014-2018,Median Gross Rent 2014-2018,CNI Z-Score,Level of Need
4268,1400000US42003426800,42003426800,4268,Shaler Twp,N/A,5605,93.41659233,2.72970562,0.321141838,0,2.1,4.49910018,61.3,16.06914213,0.249776985,183400,-,-0.474636804,Low Need
4270,1400000US42003427000,42003427000,4270,Millvale,N/A,3636,89.52145215,7.948294829,0,0.357535754,14.4,22.77486911,85.4,18.78247958,1.182618262,72200,710,0.309165841,Moderate Need
4271,1400000US42003427100,42003427100,4271,Shaler Twp,N/A,5464,96.46778917,0.018301611,0,0.841874085,3.3,4.081632653,63.2,17.11656442,0.420937042,167000,-,-0.417831363,Low Need
4272,1400000US42003427200,42003427200,4272,Shaler Twp,N/A,4773,96.3963964,2.157971925,0,1.445631678,6.8,5.034324943,70.3,17.07317073,0.607584329,141700,998,-0.269421963,Low Need
4281,1400000US42003428100,42003428100,4281,Reserve Twp,N/A,1207,99.25434963,0,0,0.745650373,1,6.08974359,82.3,20.3125,0.828500414,101300,928,-0.167217068,Low Need
4282,1400000US42003428200,42003428200,4282,Reserve Twp,N/A,2065,98.4503632,1.549636804,0,0,0.7,6.545454545,73.2,10.29850746,1.307506053,135700,1048,-0.395847222,Low Need
4291,1400000US42003429100,42003429100,4291,Ross Twp,N/A,2661,88.98910184,3.194287862,6.388575723,1.277715145,2.2,10.24,57.4,18.36477987,0.563697858,158400,991,-0.37931098,Low Need
4292.01,1400000US42003429201,42003429201,4292.01,Ross Twp,N/A,4481,84.69091721,2.387859853,7.966971658,2.81187235,2.4,2.914238135,44,13.98373984,0.334746708,217900,1105,-0.694082994,Very low Need
4292.02,1400000US42003429202,42003429202,4292.02,Ross Twp,N/A,4437,92.69776876,1.081812035,2.411539328,1.690331305,2,2.618657938,45.4,3.141762452,0.405679513,204900,1231,-0.862005797,Very low Need
4293,1400000US42003429300,42003429300,4293,Ross Twp,N/A,5580,93.02867384,5.17921147,1.290322581,0.483870968,3.4,3.542780749,56.4,13.86449184,0.340501792,177100,806,-0.547322694,Very low Need
4294,1400000US42003429400,42003429400,4294,Ross Twp,N/A,4246,93.52331606,2.025435704,1.201130476,1.224682054,2.5,7.190635452,58.2,13.06818182,0.494583137,168800,826,-0.498089501,Low Need
4295,1400000US42003429500,42003429500,4295,Ross Twp,N/A,3887,80.65346025,5.814252637,9.390275277,1.903781837,0,6.601731602,49.1,16.18398637,0.591715976,154200,776,-0.583053013,Very low Need
4296,1400000US42003429600,42003429600,4296,Ross Twp,N/A,3160,93.70253165,4.082278481,0.886075949,0,0.6,2.631578947,48.3,15.12287335,1.139240506,141300,1112,-0.630595786,Very low Need
4297,1400000US42003429700,42003429700,4297,Ross Twp,N/A,2276,95.82601054,1.230228471,0.615114236,0.439367311,1.9,6.853582555,62.5,7.131782946,0.922671353,154600,1147,-0.546341099,Very low Need
4301,1400000US42003430100,42003430100,4301,West View ,N/A,2095,89.40334129,4.486873508,1.097852029,0.859188544,11.5,12.8540305,63.6,13.76146789,0.429594272,115200,904,-0.209747596,Low Need
4302,1400000US42003430200,42003430200,4302,West View ,N/A,4545,98.78987899,0.176017602,0,0.352035204,0.8,8.449477352,73.9,11.17021277,0.418041804,133300,755,-0.385533798,Low Need
4311,1400000US42003431100,42003431100,4311,Bellevue,N/A,3167,86.95926745,7.546574045,0.378907483,1.610356805,10.1,12.63888889,59.5,15.82167832,1.326176192,124900,753,-0.203447544,Low Need
4314,1400000US42003431400,42003431400,4314,Bellevue,N/A,1903,83.76248029,13.24224908,0.735680504,1.156069364,0.7,6.37254902,64.3,17.61904762,0.525486075,112400,735,-0.403718534,Low Need
4315,1400000US42003431500,42003431500,4315,Bellevue,N/A,3126,90.40307102,6.397952655,0,1.439539347,9.3,11.18881119,63.7,8.988764045,0.991682662,136600,736,-0.319934863,Low Need
4323,1400000US42003432300,42003432300,4323,Avalon,N/A,2105,78.90736342,11.68646081,0,1.235154394,7,29.60526316,75.5,8.139534884,0.380047506,113400,729,-0.018584974,Moderate Need
4324,1400000US42003432400,42003432400,4324,Avalon,N/A,2521,87.30662436,6.386354621,0,3.451011503,2.6,5.993150685,61.3,10.64073227,0.753669179,99800,778,-0.510243065,Low Need
4340,1400000US42003434000,42003434000,4340,Ben Avon,N/A,1865,93.94101877,2.037533512,0.536193029,0.589812332,1.6,4.8828125,37.2,13.95348837,0.321715818,215400,996,-0.747703265,Very low Need
4350,1400000US42003435000,42003435000,4350,Emsworth,N/A,2541,90.1613538,2.636757182,1.731601732,1.416765053,4.7,4.529616725,64.7,16.81318681,0.590318772,126400,819,-0.371243174,Low Need
4370,1400000US42003437000,42003437000,4370,Ohio Twp,N/A,6308,86.52504756,5.532656944,4.296131896,1.553582752,1.3,8.351893096,35.5,12.9088785,0.554850983,334800,1316,-0.726581931,Very low Need
4390,1400000US42003439000,42003439000,4390,Bell Acres,N/A,1434,93.37517434,2.440725244,1.185495119,0.209205021,3.7,0.742574257,43.9,14.24870466,0.627615063,297600,1075,-0.687690949,Very low Need
